X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0.000572738,0.0375702,,0.000572738,-2.90442e-05
0.000582738,0.037569,,0.000582738,-2.89683e-05
0.000592738,0.0375681,,0.000592738,-2.88926e-05
0.000602738,0.037567,,0.000602738,-2.88168e-05
0.000612738,0.0375661,,0.000612738,-2.87412e-05
0.000622738,0.037565,,0.000622738,-2.86656e-05
0.000632738,0.0375641,,0.000632738,-2.859e-05
0.000642738,0.0375629,,0.000642738,-2.85145e-05
0.000652738,0.037562,,0.000652738,-2.84391e-05
0.000662738,0.0375609,,0.000662738,-2.83637e-05
0.000672738,0.03756,,0.000672738,-2.82884e-05
0.000682738,0.0375589,,0.000682738,-2.82131e-05
0.000692738,0.037558,,0.000692738,-2.81379e-05
0.000702738,0.0375569,,0.000702738,-2.80628e-05
0.000712738,0.0375559,,0.000712738,-2.79877e-05
0.000722738,0.0375549,,0.000722738,-2.79127e-05
0.000732738,0.0375539,,0.000732738,-2.78377e-05
0.000742738,0.0375528,,0.000742738,-2.77628e-05
0.000752738,0.0375519,,0.000752738,-2.76879e-05
0.000762738,0.0375508,,0.000762738,-2.76131e-05
0.000772738,0.0375499,,0.000772738,-2.75384e-05
0.000782738,0.0375488,,0.000782738,-2.74637e-05
0.000792738,0.0375479,,0.000792738,-2.73891e-05
0.000802738,0.0375468,,0.000802738,-2.73145e-05
0.000812738,0.0375459,,0.000812738,-2.724e-05
0.000822738,0.0375448,,0.000822738,-2.71656e-05
0.000832738,0.0375439,,0.000832738,-2.70912e-05
0.000842738,0.0375428,,0.000842738,-2.70168e-05
0.000852738,0.0375419,,0.000852738,-2.69425e-05
0.000862738,0.0375409,,0.000862738,-2.68683e-05
0.000872738,0.0375399,,0.000872738,-2.67942e-05
0.000882738,0.0375389,,0.000882738,-2.67201e-05
0.000892738,0.0375379,,0.000892738,-2.6646e-05
0.000902738,0.0375369,,0.000902738,-2.6572e-05
0.000912738,0.0375359,,0.000912738,-2.64981e-05
0.000922738,0.0375349,,0.000922738,-2.64242e-05
0.000932738,0.037534,,0.000932738,-2.63504e-05
0.000942738,0.0375329,,0.000942738,-2.62766e-05
0.000952738,0.037532,,0.000952738,-2.62029e-05
0.000962738,0.037531,,0.000962738,-2.61293e-05
0.000972738,0.03753,,0.000972738,-2.60557e-05
0.000982738,0.037529,,0.000982738,-2.59821e-05
0.000992738,0.0375281,,0.000992738,-2.59087e-05
0.00100274,0.037527,,0.00100274,-2.58352e-05
0.00101274,0.0375261,,0.00101274,-2.57619e-05
0.00102274,0.0375251,,0.00102274,-2.56886e-05
0.00103274,0.0375241,,0.00103274,-2.56153e-05
0.00104274,0.0375231,,0.00104274,-2.55421e-05
0.00105274,0.0375222,,0.00105274,-2.5469e-05
0.00106274,0.0375212,,0.00106274,-2.53959e-05
0.00107274,0.0375202,,0.00107274,-2.53229e-05
0.00108274,0.0375192,,0.00108274,-2.52499e-05
0.00109274,0.0375183,,0.00109274,-2.5177e-05
0.00110274,0.0375173,,0.00110274,-2.51042e-05
0.00111274,0.0375163,,0.00111274,-2.50314e-05
0.00112274,0.0375153,,0.00112274,-2.49587e-05
0.00113274,0.0375144,,0.00113274,-2.4886e-05
0.00114274,0.0375134,,0.00114274,-2.48134e-05
0.00115274,0.0375125,,0.00115274,-2.47408e-05
0.00116274,0.0375114,,0.00116274,-2.46683e-05
0.00117274,0.0375105,,0.00117274,-2.45958e-05
0.00118274,0.0375095,,0.00118274,-2.45234e-05
0.00119274,0.0375086,,0.00119274,-2.44511e-05
0.00120274,0.0375076,,0.00120274,-2.43788e-05
0.00121274,0.0375067,,0.00121274,-2.43066e-05
0.00122274,0.0375057,,0.00122274,-2.42344e-05
0.00123274,0.0375047,,0.00123274,-2.41623e-05
0.00124274,0.0375038,,0.00124274,-2.40903e-05
0.00125274,0.0375028,,0.00125274,-2.40183e-05
0.00126274,0.0375018,,0.00126274,-2.39463e-05
